lr-Adam,epoch,train_loss_step,step,val_SMAPE,val_MAE,val_loss,val_RMSE,val_MAPE,train_loss_epoch,test_RMSE,test_loss,test_MAE,test_MAPE,test_SMAPE
0.0001,,,0,,,,,,,,,,,
,0,0.536973774433136,9,,,,,,,,,,,
,0,0.4359615743160248,19,,,,,,,,,,,
,0,0.30294159054756165,29,,,,,,,,,,,
,0,0.2506638467311859,39,,,,,,,,,,,
,0,0.26129111647605896,49,,,,,,,,,,,
,0,,49,1.8843696117401123,0.2606506943702698,0.19351966679096222,0.3459845781326294,109257.9296875,,,,,,
,0,,49,,,,,,0.3938371539115906,,,,,
0.0001,,,50,,,,,,,,,,,
,1,0.22966696321964264,59,,,,,,,,,,,
,1,0.15440909564495087,69,,,,,,,,,,,
,1,0.20331986248493195,79,,,,,,,,,,,
,1,0.16148339211940765,89,,,,,,,,,,,
,1,0.18872316181659698,99,,,,,,,,,,,
,1,,99,1.9489821195602417,0.2624131739139557,0.16037413477897644,0.34795013070106506,15089.552734375,,,,,,
,1,,99,,,,,,0.20231199264526367,,,,,
0.0001,,,100,,,,,,,,,,,
,2,0.15762893855571747,109,,,,,,,,,,,
,2,0.18846435844898224,119,,,,,,,,,,,
,2,0.19291003048419952,129,,,,,,,,,,,
,2,0.14605100452899933,139,,,,,,,,,,,
,2,0.16465561091899872,149,,,,,,,,,,,
,2,,149,1.9540445804595947,0.2624843716621399,0.14760467410087585,0.3480379581451416,13267.396484375,,,,,,
,2,,149,,,,,,0.18019601702690125,,,,,
0.0001,,,150,,,,,,,,,,,
,3,0.16471731662750244,159,,,,,,,,,,,
,3,0.2009304314851761,169,,,,,,,,,,,
,3,0.1636982411146164,179,,,,,,,,,,,
,3,0.16746783256530762,189,,,,,,,,,,,
,3,0.16669422388076782,199,,,,,,,,,,,
,3,,199,1.9465131759643555,0.2622160017490387,0.14353014528751373,0.3477402925491333,17157.080078125,,,,,,
,3,,199,,,,,,0.16805513203144073,,,,,
0.0001,,,200,,,,,,,,,,,
,4,0.1745494157075882,209,,,,,,,,,,,
,4,0.14264975488185883,219,,,,,,,,,,,
,4,0.13350875675678253,229,,,,,,,,,,,
,4,0.15924589335918427,239,,,,,,,,,,,
,4,0.1438135951757431,249,,,,,,,,,,,
,4,,249,1.9252798557281494,0.26142778992652893,0.13940998911857605,0.34686681628227234,29074.86328125,,,,,,
,4,,249,,,,,,0.1601601094007492,,,,,
0.0001,,,250,,,,,,,,,,,
,5,0.16340245306491852,259,,,,,,,,,,,
,5,0.17039638757705688,269,,,,,,,,,,,
,5,0.13899396359920502,279,,,,,,,,,,,
,5,0.17310886085033417,289,,,,,,,,,,,
,5,0.1641664057970047,299,,,,,,,,,,,
,5,,299,1.8889638185501099,0.2597203850746155,0.13907553255558014,0.34495437145233154,55402.70703125,,,,,,
,5,,299,,,,,,0.1575865000486374,,,,,
0.0001,,,300,,,,,,,,,,,
,6,0.1468457728624344,309,,,,,,,,,,,
,6,0.17502164840698242,319,,,,,,,,,,,
,6,0.16040872037410736,329,,,,,,,,,,,
,6,0.14659027755260468,339,,,,,,,,,,,
,6,0.15387623012065887,349,,,,,,,,,,,
,6,,349,1.8708152770996094,0.258779913187027,0.1399736851453781,0.343930184841156,62171.25,,,,,,
,6,,349,,,,,,0.15173007547855377,,,,,
0.0001,,,350,,,,,,,,,,,
,7,0.14727316796779633,359,,,,,,,,,,,
,7,0.16149772703647614,369,,,,,,,,,,,
,7,0.15314562618732452,379,,,,,,,,,,,
,7,0.15110495686531067,389,,,,,,,,,,,
,7,0.15905971825122833,399,,,,,,,,,,,
,7,,399,1.8104708194732666,0.2554127871990204,0.13291895389556885,0.3401729166507721,104160.8203125,,,,,,
,7,,399,,,,,,0.14981843531131744,,,,,
0.0001,,,400,,,,,,,,,,,
,8,0.14340226352214813,409,,,,,,,,,,,
,8,0.16594386100769043,419,,,,,,,,,,,
,8,0.1383599489927292,429,,,,,,,,,,,
,8,0.13444922864437103,439,,,,,,,,,,,
,8,0.13611054420471191,449,,,,,,,,,,,
,8,,449,1.7333358526229858,0.24953964352607727,0.13146467506885529,0.3333202302455902,159200.53125,,,,,,
,8,,449,,,,,,0.14460523426532745,,,,,
0.0001,,,450,,,,,,,,,,,
,9,0.14568565785884857,459,,,,,,,,,,,
,9,0.13685743510723114,469,,,,,,,,,,,
,9,0.13981188833713531,479,,,,,,,,,,,
,9,0.1381237655878067,489,,,,,,,,,,,
,9,0.17074692249298096,499,,,,,,,,,,,
,9,,499,1.6976256370544434,0.2453324794769287,0.13027338683605194,0.32812634110450745,183437.1875,,,,,,
,9,,499,,,,,,0.14092451333999634,,,,,
,10,,500,,,,,,,0.3890533447265625,0.1644269973039627,0.3003614544868469,220054.078125,1.373242974281311
,10,,500,1.6976256370544434,0.2453324794769287,0.13027338683605194,0.32812634110450745,183437.1875,,,,,,
