train_loss_step,lr-Adam,step,epoch,val_MAE,val_MAPE,val_SMAPE,val_RMSE,val_loss,train_loss_epoch
,0.0001,0,,,,,,,
0.30119672417640686,,9,0,,,,,,
0.24208132922649384,,19,0,,,,,,
0.19898726046085358,,29,0,,,,,,
0.244191512465477,,39,0,,,,,,
0.22210490703582764,,49,0,,,,,,
,,49,0,0.25786900520324707,45469.84375,1.8360059261322021,0.3439008295536041,0.21928054094314575,
,,49,0,,,,,,0.2908394932746887
,0.0001,50,,,,,,,
0.19945238530635834,,59,1,,,,,,
0.21070271730422974,,69,1,,,,,,
0.20367227494716644,,79,1,,,,,,
0.20776750147342682,,89,1,,,,,,
0.16902197897434235,,99,1,,,,,,
,,99,1,0.23631469905376434,444518.96875,1.4166995286941528,0.3166881203651428,0.18554604053497314,
,,99,1,,,,,,0.19990259408950806
,0.0001,100,,,,,,,
0.19158565998077393,,109,2,,,,,,
0.16448219120502472,,119,2,,,,,,
0.15667323768138885,,129,2,,,,,,
0.16019396483898163,,139,2,,,,,,
0.1500023752450943,,149,2,,,,,,
,,149,2,0.21925818920135498,653843.4375,1.2456333637237549,0.2951171398162842,0.15551115572452545,
,,149,2,,,,,,0.1657344400882721
,0.0001,150,,,,,,,
0.1558241844177246,,159,3,,,,,,
0.12459010630846024,,169,3,,,,,,
0.13499750196933746,,179,3,,,,,,
0.14722402393817902,,189,3,,,,,,
0.12430524826049805,,199,3,,,,,,
,,199,3,0.21000505983829498,788092.0625,1.1454771757125854,0.2811049520969391,0.13851207494735718,
,,199,3,,,,,,0.1429811418056488
,0.0001,200,,,,,,,
0.11846417188644409,,209,4,,,,,,
0.13601280748844147,,219,4,,,,,,
0.15268032252788544,,229,4,,,,,,
0.13143080472946167,,239,4,,,,,,
0.11274272203445435,,249,4,,,,,,
,,249,4,0.20192113518714905,847102.9375,1.0793343782424927,0.26957425475120544,0.1327921450138092,
,,249,4,,,,,,0.13264863193035126
,0.0001,250,,,,,,,
0.12612536549568176,,259,5,,,,,,
0.11978992074728012,,269,5,,,,,,
0.13458651304244995,,279,5,,,,,,
0.1250321865081787,,289,5,,,,,,
0.12221113592386246,,299,5,,,,,,
,,299,5,0.191950723528862,901506.5625,1.031762957572937,0.25530701875686646,0.1296790987253189,
,,299,5,,,,,,0.1254619061946869
,0.0001,300,,,,,,,
0.12550543248653412,,309,6,,,,,,
0.11789827793836594,,319,6,,,,,,
0.129552960395813,,329,6,,,,,,
0.12010490894317627,,339,6,,,,,,
0.12008755654096603,,349,6,,,,,,
,,349,6,0.184903085231781,887589.125,1.0087194442749023,0.2469921112060547,0.12457723915576935,
,,349,6,,,,,,0.12122225761413574
,0.0001,350,,,,,,,
0.12452759593725204,,359,7,,,,,,
0.1240665391087532,,369,7,,,,,,
0.13400672376155853,,379,7,,,,,,
0.10956288129091263,,389,7,,,,,,
0.13258661329746246,,399,7,,,,,,
,,399,7,0.18607567250728607,804123.8125,1.0152028799057007,0.25104308128356934,0.12586510181427002,
,,399,7,,,,,,0.11742918193340302
,0.0001,400,,,,,,,
0.1223665103316307,,409,8,,,,,,
0.10410171747207642,,419,8,,,,,,
0.11668655276298523,,429,8,,,,,,
0.12532098591327667,,439,8,,,,,,
0.1225321888923645,,449,8,,,,,,
,,449,8,0.18248407542705536,790561.625,1.0026371479034424,0.2466658055782318,0.12170529365539551,
,,449,8,,,,,,0.11619506031274796
,0.0001,450,,,,,,,
0.11283067613840103,,459,9,,,,,,
0.12586772441864014,,469,9,,,,,,
0.11568647623062134,,479,9,,,,,,
0.12108254432678223,,489,9,,,,,,
0.10704699903726578,,499,9,,,,,,
,,499,9,0.18196837604045868,736999.4375,0.997413158416748,0.24846597015857697,0.1236017569899559,
,,499,9,,,,,,0.1128455102443695
